Time, Event
09:00 - 09:30, Introduction and Opening Remarks
09:30 - 10:00, Invited Talk: Sekou Lionel Remy
10:00 - 10:30, Invited Talk: Deepti Gurdasani
10:30 - 11:00, Coffee and Discussion
11:00 - 11:30, Invited Talk: Ewan Cameron
11:30 - 11:45, Contributed Talk: A Framework for Grassroots Research Collaboration in Machine Learning and Global Health
11:45 - 12:00, Contributed Talk: Multi-View Independent Component Analysis for Omics Data Integration 
12:00 - 13:30, Lunch break
13:30 - 14:00, Invited Talk: Rumi Chunara
14:00 - 14:15, Contributed Talk: STAGCN: Spatial-Temporal Attention Based Graph Convolutional Networks for COVID-19 Forecasting 
14:15 - 14:30, Contributed Talk: Mode Connections For Clinical Incremental Learning:Lessons From The COVID-19 Pandemic 
14:30 - 15:00, Coffee and Discussion
15:00 - 15:30, Invited Talk: Lorin Crawford
15:30 - 15:45, Contributed Talk: Phylo2Vec: A vector representation of binary trees 
15:45 - 16:00, Contributed Talk: Mitigating Disease Spread by Design in Refugee and IDP Camps 
16:00 - 16:30, Poster Session
16:30 - 16:55, Panel Discussion: Chris Fourie (SisonkeBiotik);Girmaw Tadesse Abebe (MSR);Mercy Asiedu (Google);JoÃ«lle Barral (Google);Oliver Bent (InstaDeep)
16:55 - 17:00, Closing Remarks
